STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA
ALABAMA,Elmore County Sheriff's Office,County,Elmore County,Jail Enforcement Model,2025-03-17,link
ALABAMA,Etowah County Sheriff's Office,County,Etowah County,Jail Enforcement Model,2020-06-09,link
ALABAMA,Franklin County Sheriff's Office,County,Franklin County,Task Force Model,2025-03-25,link
ALABAMA,Franklin County Sheriff's Office,County,Franklin County,Warrant Service Officer,2025-03-27,link
ALABAMA,Henry County Sheriff's Office,County,Henry County,Jail Enforcement Model,2025-03-17,link
ALABAMA,Henry County Sheriff's Office,County,Henry County,Warrant Service Officer,2025-03-17,link
ALASKA,Alaska Department of Corrections,State Agency,,Warrant Service Officer,2020-07-24,link
ALASKA,Kodiak Police Department,Municipality,,Warrant Service Officer,2020-07-20,link
ARIZONA,Arizona Department of Corrections,State Agency,,Jail Enforcement Model,2020-06-16,link
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Warrant Service Officer,2020-02-27,link
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Jail Enforcement Model,2020-03-12,link
ARIZONA,Mesa Police Department,Municipality,,Jail Enforcement Model,2020-06-08,link
ARIZONA,Pinal County Sheriff's Office,County,Pinal County,Jail Enforcement Model,2020-06-09,link
ARIZONA,Yavapai County Sheriff's Office,County,Yavapai County,Jail Enforcement Model,2020-06-09,link
ARKANSAS,Benton County Sheriff's Office,County,Benton County,Jail Enforcement Model,2020-06-30,link
ARKANSAS,Craighead County Sheriff's Office,County,Craighead County,Jail Enforcement Model,2020-06-18,link
COLORADO,Teller County Sheriff's Office,County,Teller County,Jail Enforcement Model,2020-06-08,link
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Warrant Service Officer,2025-02-24,link
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Task Force Model,2025-02-26,link
FLORIDA,Arcadia Police Department,Municipality,,Task Force Model,2025-03-05,link pending 
FLORIDA,Baker County Sheriff's Office,County,Baker County,Warrant Service Officer,2019-10-15,link
FLORIDA,Baker County Sheriff's Office,County,Baker County,Task Force Model,2025-02-26,link pending
FLORIDA,Bay County Sheriff's Office,County,Bay County,Warrant Service Officer,2019-10-15,link
FLORIDA,Bay County Sheriff's Office,County,Bay County ,Task Force Model,2025-02-26,link pending
FLORIDA,Belleair Police Department,Municipality,,Task Force Model,2025-02-28,link
FLORIDA,Blountstown Police Department,Municipality,,Task Force Model,2025-03-05,link
FLORIDA,Boca Raton Police Department,Municipality,,Task Force Model,2025-03-25,link
FLORIDA,Bradenton Police Department,Municipality,,Task Force Model,2025-03-25,link
FLORIDA,Bradford County Sheriff's Office,County,Bradford County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Bradford County Sheriff's Office,County,Bradford County ,Task Force Model,2025-02-26,link pending
FLORIDA,Brevard County Sheriff's Office,County,Brevard County ,Warrant Service Officer,2019-05-06,link
FLORIDA,Brevard County Sheriff's Office,County,Brevard County ,Task Force Model,2025-02-24,link
FLORIDA,Broward County Sheriff's Office,County,Broward County ,Warrant Service Officer,2019-09-09,link
FLORIDA,Broward County Sheriff's Office,County,Broward County ,Task Force Model,2025-02-26,link pending
FLORIDA,Calhoun County Sheriff's Office,County,Calhoun County ,Warrant Service Officer,2019-09-09,link
FLORIDA,Calhoun County Sheriff's Office,County,Calhoun County ,Task Force Model,2025-02-26,link pending
FLORIDA,Charlotte County Sheriff's Office,County,Charlotte County ,Warrant Service Officer,2019-05-06,link
FLORIDA,Charlotte County Sheriff's Office,County,Charlotte County ,Task Force Model,2025-02-26,link
FLORIDA,Chattahoochee Police Department,Municipality,,Task Force Model,2025-02-28,link
FLORIDA,Citrus County Sheriff's Office,County,Citrus County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Citrus County Sheriff's Office,County,Citrus County ,Task Force Model,2025-02-26,link
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Jail Enforcement Model,2020-03-11,link
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Warrant Service Officer,2025-02-24,link
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Task Force Model,2025-02-26,link
FLORIDA,Clearwater Police Department,Municipality,,Task Force Model,2025-02-28,link
FLORIDA,Clermont Police Department,Municipality,,Task Force Model,2025-03-05,link
FLORIDA,Cocoa Beach Police Department,Municipality,,Task Force Model,2025-03-25,link
FLORIDA,Collier County Sheriff's Office,County,Collier County ,Jail Enforcement Model,2020-06-09,link
FLORIDA,Collier County Sheriff's Office,County,Collier County ,Task Force Model,2025-02-24,link
FLORIDA,Columbia County Sheriff's Office,County,Columbia County ,Warrant Service Officer,2019-05-06,link
FLORIDA,Columbia County Sheriff's Office,County,Columbia County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Coral Gables Police Department,Municipality,,Task Force Model,2025-03-07,link
FLORIDA,Davie Police Department,Municipality,,Task Force Model,2025-03-07,link
FLORIDA,Daytona Beach Shores Public Safety,Municipality,,Task Force Model,2025-03-10,link
FLORIDA,Deland Police Department,Municipality,,Task Force Model,2025-03-05,link
FLORIDA,DeSoto County Sheriff's Office,County,DeSoto County ,Warrant Service Officer,2019-10-15,link
FLORIDA,DeSoto County Sheriff's Office,County,DeSoto County ,Task Force Model,2025-02-26,link
FLORIDA,Dixie County Sheriff's Office,County,Dixie County ,Warrant Service Officer,2025-02-24,link
FLORIDA,Dixie County Sheriff's Office,County,Dixie County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Edgewood Police Department,Municipality,,Task Force Model,2025-04-14,link pending 
FLORIDA,Escambia County Sheriff's Office,County,Escambia County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Escambia County Sheriff's Office,County,Escambia County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Eustis Police Department,Municipality,,Task Force Model,2025-04-02,link
FLORIDA,Flagler County Sheriff's Office,County,Flagler County ,Warrant Service Officer,2019-09-09,link
FLORIDA,Flagler County Sheriff's Office,County,Flagler County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Florida Department of Corrections,State Agency,,Jail Enforcement Model,2020-08-21,link
FLORIDA,Florida Department of Financial Services,State Agency,,Task Force Model,2025-03-25,link
FLORIDA,"Florida Department of Highway Safety and Motor Vehicles, Division of Highway Patrol",State Agency,,Task Force Model,2025-02-07,link
FLORIDA,Florida Department of Law Enforcement,State Agency,,Task Force Model,2025-02-14,link
FLORIDA,Florida Fish and Wildlife Conservation Commission,State Agency,,Task Force Model,2025-02-14,link
FLORIDA,Florida National Guard,State Agency,,Task Force Model,2025-04-02,link
FLORIDA,Florida State Guard,State Agency,,Task Force Model,2025-03-19,link
FLORIDA,Fort Walton Beach Police Department,Municipality,,Task Force Model,2025-02-28,link
FLORIDA,Franklin County Sheriff's Office,County,Franklin County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Franklin County Sheriff's Office,County,Franklin County ,Task Force Model,2025-02-26,link pending
FLORIDA,Gadsden County Sheriff's Office,County,Gadsden County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Gadsden County Sheriff's Office,County,Gadsden County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Gilchrist County Sheriff's Office,County,Gilchrist County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Gilchrist County Sheriff's Office,County,Gilchrist County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Glades County Sheriff's Office,County,Glades County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Glades County Sheriff's Office,County,Glades County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Green Cove Springs Police Department,Municipality,,Task Force Model,2025-04-10,link pending 
FLORIDA,Gulf County Board of County Commissioners,County,Gulf County,Warrant Service Officer,2025-02-26,link
FLORIDA,Gulf County Sheriff's Office,County,Gulf County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Gulfport Police Department,Municipality,,Task Force Model,2025-02-28,link pending 
FLORIDA,Hamilton County Sheriff's Office,County,Hamilton County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Hamilton County Sheriff's Office,County,Hamilton County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Hardee County Sheriff's Office,County,Hardee County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Hardee County Sheriff's Office,County,Hardee County ,Task Force Model,2025-02-26,link pending
FLORIDA,Havana Police Department,Municipality,,Task Force Model,2025-04-10,link pending
FLORIDA,Hendry County Sheriff's Office,County,Hendry County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Hendry County Sheriff's Office,County,Hendry County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Hernando County Sheriff's Office,County,Hernando County ,Warrant Service Officer,2019-05-06,link
FLORIDA,Hernando County Sheriff's Office,County,Hernando County ,Jail Enforcement Model,2020-06-09,link
FLORIDA,Hernando County Sheriff's Office,County,Hernando County ,Task Force Model,2025-02-26,link
FLORIDA,Highland Beach Police Department,Municipality,,Task Force Model,2025-04-10,link pending 
FLORIDA,High Springs Police Department,Municipality,,Task Force Model,2025-03-25,link
FLORIDA,Highlands County Sheriff's Office,County,Highlands County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Highlands County Sheriff's Office,County,Highlands County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Hillsborough County Sheriff's Office,County,Hillsborough County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Hillsborough County Sheriff's Office,County,Hillsborough County ,Task Force Model,2025-02-26,link
FLORIDA,Holmes Beach Police Department,Municipality,,Task Force Model,2025-04-10,link pending 
FLORIDA,Holmes County Sheriff's Office,County,Holmes County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Holmes County Sheriff's Office,County,Holmes County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Indian Harbour Beach Police Department,Municipality,,Task Force Model,2025-04-10,link pending 
FLORIDA,Indian River County Sheriff's Office,County,Indian River County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Indian River County Sheriff's Office,County,Indian River County ,Task Force Model,2025-02-26,link
FLORIDA,Indian River Shores Department of Public Safety,Municipality,,Task Force Model,2025-03-05,link
FLORIDA,Indian Shores Police Department,Municipality,,Task Force Model,2025-02-28,link pending 
FLORIDA,Jackson County Correctional Facility,County,Jackson County,Warrant Service Officer,2025-02-26,link
FLORIDA,Jackson County Sheriff's Office,County,Jackson County ,Task Force Model,2025-02-26,link
FLORIDA,Jacksonville Sheriff's Office,County,Duval County,Jail Enforcement Model,2020-06-09,link
FLORIDA,Jacksonville Sheriff's Office,County,Duval County,Task Force Model,2025-02-26,link pending 
FLORIDA,Jefferson County Sheriff's Office,County,Jefferson County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Jefferson County Sheriff's Office,County,Jefferson County ,Task Force Model,2025-02-26,link
FLORIDA,Juno Beach Police Department,Municipality,,Task Force Model,2025-03-07,link
FLORIDA,Jupiter Inlet Colony Police Department,Municipality,,Task Force Model,2025-03-10,link
FLORIDA,Jupiter Island Department of Public Safety,Municipality,,Task Force Model,2025-03-25,link
FLORIDA,Jupiter Police Department,Municipality,,Task Force Model,2025-03-26,link
FLORIDA,Kenneth City Police Department,Municipality,,Task Force Model,2025-02-28,link pending 
FLORIDA,Key Colony Beach Police Department,Municipality,,Task Force Model,2025-04-10,link pending 
FLORIDA,Key West Police Department,Municipality,,Task Force Model,2025-03-05,link
FLORIDA,Lady Lake Police Department,Municipality,,Task Force Model,2025-04-10,link pending 
FLORIDA,Lafayette County Sheriff's Office,County,Lafayette County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Lafayette County Sheriff's Office,County,Lafayette County ,Task Force Model,2025-02-26,link
FLORIDA,Lake County Sheriff's Office,County,Lake County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Lake County Sheriff's Office,County,Lake County ,Task Force Model,2025-02-26,link
FLORIDA,Lake Placid Police Department,Municipality,,Task Force Model,2025-02-28,link
FLORIDA,Lee County Sheriff's Office,County,Lee County ,Task Force Model,2025-02-24,link
FLORIDA,Lee County Sheriff's Office,County,Lee County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Lee County Sheriff's Office,County,Lee County ,Jail Enforcement Model,2025-03-03,link pending 
FLORIDA,Leon County Sheriff's Office,County,Leon County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Leon County Sheriff's Office,County,Leon County ,Task Force Model,2025-02-26,link pending
FLORIDA,Levy County Sheriff's Office,County,Levy County ,Warrant Service Officer,2019-05-06,link
FLORIDA,Levy County Sheriff's Office,County,Levy County ,Task Force Model,2025-02-26,link
FLORIDA,Liberty County Sheriff's Office,County,Liberty County ,Warrant Service Officer,2019-09-09,link
FLORIDA,Liberty County Sheriff's Office,County,Liberty County ,Task Force Model,2025-02-26,link
FLORIDA,Lighthouse Point Police Department,Municipality,,Task Force Model,2025-04-02,link pending
FLORIDA,Lynn Haven Police Department,Municipality,,Task Force Model,2025-02-24,link
FLORIDA,Madison County Sheriff's Office,County,Madison County ,Warrant Service Officer,2019-09-09,link
FLORIDA,Madison County Sheriff's Office,County,Madison County ,Task Force Model,2025-02-26,link
FLORIDA,Manatee County Sheriff's Office,County,Manatee County ,Warrant Service Officer,2019-05-06,link
FLORIDA,Manatee County Sheriff's Office,County,Manatee County ,Task Force Model,2025-02-26,link
FLORIDA,Marianna Police Department,Municipality,,Task Force Model,2025-03-05,link
FLORIDA,Marion County Sheriff's Office,County,Marion County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Marion County Sheriff's Office,County,Marion County ,Task Force Model,2025-02-26,link
FLORIDA,Martin County Sheriff's Office,County,Martin County ,Warrant Service Officer,2020-01-22,link
FLORIDA,Martin County Sheriff's Office,County,Martin County ,Task Force Model,2025-02-26,link
FLORIDA,Miami Dade Corrections and Rehabilitation,County,Miami-Dade County,Warrant Service Officer,2025-02-26,link pending 
FLORIDA,Miami Dade Sheriff's Office,County,Miami-Dade County,Task Force Model,2025-02-26,link
FLORIDA,City of Miami Springs Police Department,Municipality,,Task Force Model,2025-04-02,link pending 
FLORIDA,Monroe County Sheriff's Office,County,Monroe County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Monroe County Sheriff's Office,County,Monroe County ,Task Force Model,2025-02-26,link
FLORIDA,Naples Police Department,Municipality,,Task Force Model,2025-03-03,link
FLORIDA,Nassau County Sheriff's Office,County,Nassau County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Nassau County Sheriff's Office,County,Nassau County ,Task Force Model,2025-02-26,link pending
FLORIDA,Okaloosa County Sheriff's Office,County,Okaloosa County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Okaloosa County Sheriff's Office,County,Okaloosa County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Okeechobee County Sheriff's Office,County,Okeechobee County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Okeechobee County Sheriff's Office,County,Okeechobee County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Okeechobee Police Department,County,,Task Force Model,2025-03-17,link
FLORIDA,Orange County Corrections Department,County,Orange County,Warrant Service Officer,2025-02-26,link
FLORIDA,Orange County Sheriff's Office,County,Orange County ,Task Force Model,2025-02-26,link
FLORIDA,Orlando Police Department,Municipality,,Task Force Model,2025-03-26,link
FLORIDA,Osceola County Corrections Department,County,Osceola County,Warrant Service Officer,2019-10-15,link
FLORIDA,Osceola County Sheriff's Office,County,Osceola County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Oviedo Police Department,Municipality,,Task Force Model,2025-03-26,link
FLORIDA,Palm Beach County Sheriff's Office,County,Palm Beach County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Palm Beach County Sheriff's Office,County,Palm Beach County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Palm Beach Gardens Police Department,Municipality,,Task Force Model,2025-03-05,link
FLORIDA,Panama City Beach Police Department,Municipality,,Task Force Model,2025-02-26,link
FLORIDA,Panama City Police Department,Municipality,,Task Force Model,2025-02-28,link pending
FLORIDA,Pasco County Board of County Commissioners,County,Pasco County,Warrant Service Officer,2025-02-26,link
FLORIDA,Pasco County Sheriff's Office,County,Pasco County,Task Force Model,2025-02-26,link
FLORIDA,Pinellas County Sheriff's Office,County,Pinellas County ,Warrant Service Officer,2019-04-24,link
FLORIDA,Pinellas County Sheriff's Office,County,Pinellas County ,Task Force Model,2025-02-26,link
FLORIDA,Pinellas Park Police Department,Municipality,,Task Force Model,2025-02-28,link
FLORIDA,Polk County Sheriff's Office,County,Polk County ,Warrant Service Officer,2019-05-06,link
FLORIDA,Polk County Sheriff's Office,County,Polk County ,Task Force Model,2025-02-26,link
FLORIDA,Putnam County Sheriff's Office,County,Putnam County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Putnam County Sheriff's Office,County,Putnam County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Sanibel Police Department,Municipality,,Task Force Model,2025-04-02,link
FLORIDA,Santa Rosa County Sheriff's Office,County,Santa Rosa County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Santa Rosa County Sheriff's Office,County,Santa Rosa County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Sarasota County Sheriff's Office,County,Sarasota County ,Warrant Service Officer,2019-05-06,link
FLORIDA,Sarasota County Sheriff's Office,County,Sarasota County ,Task Force Model,2025-02-26,link
FLORIDA,Seminole County Sheriff's Office,County,Seminole County ,Warrant Service Officer,2019-09-04,link
FLORIDA,Seminole County Sheriff's Office,County,Seminole County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Springfield Police Department,Municipality,,Task Force Model,2025-02-28,link pending
FLORIDA,St. Augustine Beach Police Department,Municipality,,Task Force Model,2025-03-03,link pending
FLORIDA,St. Augustine Police Department,Municipality,,Task Force Model,2025-02-28,link
FLORIDA,St. Johns County Sheriff's Office,County,St. Johns County ,Warrant Service Officer,2019-10-15,link
FLORIDA,St. Johns County Sheriff's Office,County,St. Johns County ,Task Force Model,2025-02-26,link pending 
FLORIDA,St. Lucie County Sheriff's Office,County,St. Lucie County ,Warrant Service Officer,2025-02-19,link
FLORIDA,St. Lucie County Sheriff's Office,County,St. Lucie County ,Task Force Model,2025-02-26,link
FLORIDA,St. Petersburg Police Department,Municipality,,Task Force Model,2025-02-28,link pending
FLORIDA,Sumter County Sheriff's Office,County,Sumter County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Sumter County Sheriff's Office,County,Sumter County ,Task Force Model,2025-02-26,link
FLORIDA,Sunny Isles Police Department,Municipality,,Task Force Model,2025-03-10,link pending
FLORIDA,Suwannee County Sheriff's Office,County,Suwannee County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Suwannee County Sheriff's Office,County,Suwannee County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Sweetwater Police Department,Municipality,,Task Force Model,2025-03-26,link
FLORIDA,Tallahassee Police Department,Municipality,,Task Force Model,2025-03-10,link
FLORIDA,Tampa Police Department,Municipality,,Task Force Model,2025-02-28,link pending
FLORIDA,Tarpon Springs Police Department,Municipality,,Task Force Model,2025-02-28,link pending
FLORIDA,Tavares Police Department,Municipality,,Task Force Model,2025-03-17,link
FLORIDA,Taylor County Sheriff's Office,County,Taylor County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Taylor County Sheriff's Office,County,Taylor County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Tequesta Police Department,Municipality,,Task Force Model,2025-03-07,link
FLORIDA,Town of Palm Beach Police Department,Municipality,,Task Force Model,2025-03-07,link
FLORIDA,Treasure Island Police Department,Municipality,,Task Force Model,2025-03-07,link
FLORIDA,Union County Sheriff's Office,County,Union County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Union County Sheriff's Office,County,Union County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Venice Police Department,Municipality,,Task Force Model,2025-03-17,link
FLORIDA,Vero Beach Police Department,Municipality,,Task Force Model,2025-03-26,link
FLORIDA,Volusia County Division of Corrections,County,Volusia County,Warrant Service Officer,2025-02-26,link
FLORIDA,Volusia County Sheriff's Office,County,Volusia County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Wakulla County Sheriff's Office,County,Wakulla County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Wakulla County Sheriff's Office,County,Wakulla County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Walton County Sheriff's Office,County,Walton County ,Warrant Service Officer,2019-05-06,link
FLORIDA,Walton County Sheriff's Office,County,Walton County ,Task Force Model,2025-02-26,link pending 
FLORIDA,Washington County Sheriff's Office,County,Washington County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Washington County Sheriff's Office,County,Washington County ,Task Force Model,2025-02-26,link pending 
FLORIDA,West Miami Police Department,Municipality,,Task Force Model,2025-03-26,link
FLORIDA,Winter Garden Police Department,Municipality,,Task Force Model,2025-04-02,link
GEORGIA,Bibb County Sheriff's Office,County,Bibb County ,Warrant Service Officer,2025-02-27,link
GEORGIA,Burke County Sheriff's Office,County,Burke County,Warrant Service Officer,2025-03-27,link pending
GEORGIA,Columbia County Sheriff's Office,County,Columbia County ,Jail Enforcement Model,2025-02-26,link
GEORGIA,Dade County Sheriff's Office,County,Dade County,Warrant Service Officer,2025-03-27,link pending
GEORGIA,Decatur County Sheriff's Office,County,Decatur,Warrant Service Officer,2025-03-26,link
GEORGIA,Floyd County Sheriff's Office,County,Floyd County ,Jail Enforcement Model,2020-06-10,link
