STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA
GEORGIA,Georgia Department of Corrections,State Agency,,Jail Enforcement Model,2020-06-09,link
GEORGIA,Georgia Department of Public Safety,State Agency,,Task Force Model,2025-03-10,link
GEORGIA,Hall County Sheriff's Office,County,Hall County ,Jail Enforcement Model,2020-06-09,link
GEORGIA,Lumpkin County Sheriff's Office,County,Lumpkin County,Warrant Service Officer,2025-03-27,link pending
GEORGIA,Monroe County Sheriff's Office,County,Monroe County ,Jail Enforcement Model,2025-02-24,link
GEORGIA,Morgan County Sheriff's Office,County,Morgan County ,Warrant Service Officer,2025-02-28,link pending
GEORGIA,Oconee County Sheriff's Office,County,Oconee County ,Warrant Service Officer,2019-12-31,link
GEORGIA,Pierce County Sheriff's Office,County,Pierce County ,Warrant Service Officer,2025-02-27,link
GEORGIA,Polk County Sheriff's Office,County,Polk County ,Jail Enforcement Model,2020-07-02,link
GEORGIA,Walker County Sheriff's Office,County,Walker County ,Jail Enforcement Model,2025-02-24,link
GEORGIA,Whitfield County Sheriff's Office,County,Whitfield County ,Jail Enforcement Model,2020-06-09,link
IDAHO,Gooding County Sheriff's Office,County,Gooding County ,Warrant Service Officer,2020-08-17,link
IDAHO,Owyhee County Sheriff's Office,County,Owyhee County ,Warrant Service Officer,2025-02-19,link pending
IDAHO,Owyhee County Sheriff's Office,County,Owyhee County ,Task Force Model,2025-02-19,link
IDAHO,Power County Sheriff’s Office,County,Power County,Warrant Service Officer,2020-11-20,link
INDIANA,Green Forks Police Department,Municipality,,Task Force Model,2025-04-10,link pending
INDIANA,Hamilton County Sheriff's Office,County,Hamilton County ,Jail Enforcement Model,2025-03-03,link pending
INDIANA,Jasper County Sheriff's Office,County,Jasper County,Warrant Service Officer,2025-03-17,link
INDIANA,Noble County Sheriff's Office,County,Noble County,Warrant Service Officer,2025-03-26,link
IOWA,Iowa Department of Public Safety,State Agency,,Task Force Model,2025-03-26,link pending
KANSAS,Cowley County Sheriff's Office,County,Cowley County ,Warrant Service Officer,2025-03-05,link
KANSAS,Finney County Sheriff’s Office,County,Finney County,Warrant Service Officer,2020-03-17,link
KANSAS,Jackson County Sheriff’s Office,County,Jackson County,Warrant Service Officer,2020-07-23,link
KANSAS,Kansas Bureau of Investigation,State Agency,,Task Force Model,2025-02-18,link
KANSAS,Reno County Sheriff's office,County,Reno County ,Warrant Service Officer,2025-03-05,link
KANSAS,Rice County Sheriff's Office,County,Rice County,Warrant Service Officer,2025-03-26,link
KENTUCKY,Bullitt County Detention Center,County,Bullitt County ,Jail Enforcement Model,2025-03-21,link pending
KENTUCKY,Daviess County Sheriff's Office,County,Daviess County ,Task Force Model,2025-03-10,link pending
KENTUCKY,Daviess County Sheriff's Office,County,Daviess County ,Warrant Service Officer,2025-03-10,link
KENTUCKY,Grayson County Detention Center,County,Grayson County,Jail Enforcement Model,2025-03-05,link
KENTUCKY,Grayson County Detention Center,County,Grayson County,Warrant Service Officer,2025-03-05,link
KENTUCKY,Grayson County Sheriff’s Office,County,Grayson County,Task Force Model,2025-03-05,link
KENTUCKY,Oldham County Detention Center,County,Oldham County,Warrant Service Officer,2025-03-10,link
KENTUCKY,Oldham County Detention Center,County,Oldham County,Jail Enforcement Model,2025-03-10,link
LOUISIANA,Bossier Parish Sheriff's Office,County,Bossier Parish ,Jail Enforcement Model,2025-02-28,link
LOUISIANA,Kenner Police Department,Municipality,,Jail Enforcement Model,2025-03-17,link
MAINE,Wells Police Department,Municipality,,Task Force Model,2025-04-02,link
MARYLAND,Carroll County Sheriff’s Office,County,Carroll County,Warrant Service Officer,2025-03-03,link
MARYLAND,Cecil County Sheriff's Office,County,Cecil County ,Jail Enforcement Model,2020-03-09,link
MARYLAND,Frederick County Sheriff's Office,County,Frederick County ,Jail Enforcement Model,2020-06-09,link
MARYLAND,Garrett County Sheriff's Office,County,Garrett County ,Warrant Service Officer,2025-02-28,link
MARYLAND,Harford County Sheriff's Office,County,Harford County ,Jail Enforcement Model,2020-06-26,link
MARYLAND,St. Mary's County Sheriff's Office,County,St. Mary's County,Warrant Service Officer,2025-03-26,link
MARYLAND,Washington County Sheriff's Office,County,Washington County ,Warrant Service Officer,2025-03-10,link
MASSACHUSETTS,Massachusetts Department of Corrections,State Agency,,Jail Enforcement Model,2020-06-08,link
MICHIGAN,Jackson County Sheriff's Office,County,Jackson County,Warrant Service Officer,2025-03-19,link
MINNESOTA,Cass County Sheriff's Office,County,Cass County ,Task Force Model,2025-02-28,link
MINNESOTA,Crow Wing County Sheriff's Office,County,Crow Wing County,Task Force Model,2025-03-25,link
MINNESOTA,Crow Wing County Sheriff's Office ,County,Crow Wing County,Warrant Service Officer,2025-03-27,link pending
MINNESOTA,Freeborn County Sheriff's Office,County,Freeborn County,Warrant Service Officer,2025-03-27,link
MINNESOTA,Itasca County Sheriff's Office,County,Itasca County ,Task Force Model,2025-02-27,link
MINNESOTA,Jackson County Sheriff's Office,County,Jackson County ,Jail Enforcement Model,2025-03-07,link
MINNESOTA,Jackson County Sheriff's Office,County,Jackson County ,Warrant Service Officer,2025-03-07,link
MISSISSIPPI,Mississippi Attorney General's Office,State Agency,,Task Force Model,2025-03-17,link
MISSOURI,Christian County Sheriff's Office,County,Christian County,Jail Enforcement Model,2025-03-21,link pending
MISSOURI,Christian County Sheriff's Office,County,Christian County,Warrant Service Officer,2025-03-26,link
MISSOURI,Missouri Highway Patrol,State Agency,,Task Force Model,2025-03-21,link
MONTANA,Flathead County Sheriff's Department,County,Flathead County,Warrant Service Officer,2020-02-12,link
MONTANA,Gallatin County Sheriff's Office,County,Gallatin County ,Warrant Service Officer,2020-01-22,link
MONTANA,Montana Department of Justice,State Agency,,Task Force Model,2025-03-05,link
NEBRASKA,Dakota County Sheriff's Office,County,Dakota County ,Jail Enforcement Model,2020-06-09,link
NEVADA,Douglas County Sheriff's Office,County,Douglas County ,Warrant Service Officer,2025-02-19,link
NEVADA,Mineral County Sheriff's Office,County,Mineral County ,Warrant Service Officer,2025-03-10,link
NEW HAMPSHIRE,Belknap County Sheriff's Office,County,Belknap County ,Task Force Model,2025-03-03,link
NEW HAMPSHIRE,Colebrook Police Department,Municipality,,Task Force Model,2025-03-05,link
NEW HAMPSHIRE,Gorham Police Department,Municipality,,Task Force Model,2025-02-26,link
NEW HAMPSHIRE,Grafton County Sheriff's Office,County,Grafton County ,Task Force Model,2025-03-07,link
NEW HAMPSHIRE,Ossipee Police Department,Municipality,,Task Force Model,2025-03-03,link
NEW HAMPSHIRE,Pittsburgh Police Department,Municipality,,Task Force Model,2025-03-03,link
NEW HAMPSHIRE,Troy Police Department,Municipality,,Task Force Model,2025-03-17,link
NEW YORK,Broome County Sheriff's Office,County,Broome County ,Warrant Service Officer,2025-03-10,link
NEW YORK,Nassau County Police Department,County,Nassau County ,Task Force Model,2025-03-10,link
NEW YORK,Nassau County Sheriff's Office,County,Nassau County ,Warrant Service Officer,2025-02-28,link
NEW YORK,Rensselaer County Sheriff's Office,County,Rensselaer County ,Jail Enforcement Model,2020-06-10,link
NORTH CAROLINA,Alamance County Sheriff's Office,County,Alamance County ,Warrant Service Officer,2020-05-21,link
NORTH CAROLINA,Albemarle District Jail,County,Albemarle County,Warrant Service Officer,2020-03-19,link
NORTH CAROLINA,Avery County Sheriff's Office,County,Avery County ,Warrant Service Officer,2020-07-23,link
NORTH CAROLINA,Brunswick County Sheriff's Office,County,Brunswick County ,Warrant Service Officer,2020-07-23,link
NORTH CAROLINA,Cabarrus County Sheriff's Office,County,Cabarrus County ,Jail Enforcement Model,2020-03-11,link
NORTH CAROLINA,Caldwell County Sheriff's Office,County,Caldwell County ,Warrant Service Officer,2020-03-19,link
NORTH CAROLINA,Cherokee County Sheriff's Office,County,Cherokee County ,Warrant Service Officer,2025-03-10,link
NORTH CAROLINA,Cleveland County Sheriff's Office,County,Cleveland County ,Warrant Service Officer,2020-01-16,link
NORTH CAROLINA,Columbus County Sheriff's Office,County,Columbus County ,Warrant Service Officer,2025-03-05,link
NORTH CAROLINA,Craven County Sheriff's Office,County,Craven County ,Warrant Service Officer,2025-03-10,link
NORTH CAROLINA,Duplin County Sheriff's Office,County,Duplin County ,Warrant Service Officer,2020-06-25,link
NORTH CAROLINA,Gaston County Sheriff's Office,County,Gaston County ,Jail Enforcement Model,2020-06-09,link
NORTH CAROLINA,Henderson County Sheriff's Office,County,Henderson County ,Jail Enforcement Model,2020-06-09,link
NORTH CAROLINA,Lincoln County Sheriff's Office,County,Lincoln County ,Warrant Service Officer,2020-06-05,link
NORTH CAROLINA,Nash County Sheriff's Office,County,Nash County ,Warrant Service Officer,2020-01-29,link
NORTH CAROLINA,Onslow County Sheriff's Office,County,Onslow County,Warrant Service Officer,2025-03-26,link
NORTH CAROLINA,Randolph County Sheriff's Office,County,Randolph County ,Warrant Service Officer,2020-05-21,link
NORTH CAROLINA,Rockingham County Sheriff's Office,County,Rockingham County ,Warrant Service Officer,2019-12-31,link
NORTH CAROLINA,Yancey County Sheriff's Office,County,Yancey County ,Warrant Service Officer,2020-07-20,link
NORTH DAKOTA,Dickinson Police Department,Municipality,,Task Force Model,2025-03-07,link
NORTH DAKOTA,Dunn County Sheriff's Office,County,Dunn County ,Task Force Model,2025-03-10,link
NORTH DAKOTA,Dunn County Sheriff's Office,County,Dunn County ,Warrant Service Officer,2025-03-10,link
NORTH DAKOTA,McKenzie County Sheriff's Office,County,McKenzie County,Task Force Model,2025-03-17,link
OHIO,Butler County Sheriff's Office,County,Butler County ,Jail Enforcement Model,2025-02-24,link
OHIO,Butler County Sheriff's Office,County,Butler County ,Task Force Model,2025-04-02,link pending
OHIO,Portage County Sheriff's Office,County,Portage County,Task Force Model,2025-03-17,link
OHIO,Portage County Sheriff's Office,County,Portage County,Warrant Service Officer,2025-03-17,link
OHIO,Seneca County Sheriff's Office,County,Seneca County ,Task Force Model,2025-02-28,link pending
OHIO,Seneca County Sheriff's Office,County,Seneca County ,Warrant Service Officer,2025-02-28,link
OKLAHOMA,Blaine County Sheriff's Office,County,Blaine County ,Warrant Service Officer,2025-02-26,link
OKLAHOMA,Canadian County Sheriff's Office,County,Canadian County ,Jail Enforcement Model,2020-03-13,link
OKLAHOMA,Logan County Sheriff's Office,County,Logan County ,Jail Enforcement Model,2025-02-28,link pending
OKLAHOMA,Oklahoma Bureau of Investigation,State Agency,,Task Force Model,2025-02-18,link
OKLAHOMA,Oklahoma Bureau of Narcotics,State Agency,,Task Force Model,2025-02-18,link
OKLAHOMA,Oklahoma Department of Public Safety,State Agency,,Task Force Model,2025-02-18,link
OKLAHOMA,Okmulgee County Criminal Justice Authority,County,Okmulgee County,Jail Enforcement Model,2020-06-09,link
OKLAHOMA,Okmulgee County Criminal Justice Authority,County,Okmulgee County,Warrant Service Officer,2025-02-24,link
OKLAHOMA,Sterling Police Department,Municipality,,Task Force Model,2025-03-07,link
OKLAHOMA,Tulsa County Sheriff's Office,County,Tulsa County ,Jail Enforcement Model,2020-06-08,link
PENNSYLVANIA,Bradford County Sheriff's Office,County,Bedford County ,Warrant Service Officer,2025-03-27,link
PENNSYLVANIA,Franklin County Sheriffs Office,County,Franklin County,Task Force Model,2025-03-10,link
PENNSYLVANIA,Franklin County Sheriffs Office,County,Franklin County,Warrant Service Officer,2025-03-07,link
SOUTH CAROLINA,Charleston County Sheriff's Office,County,Charleston County ,Warrant Service Officer,2025-03-10,link pending
SOUTH CAROLINA,Chester County Sheriff's Office,County,Chester County ,Warrant Service Officer,2025-03-10,link
SOUTH CAROLINA,Greenville County Sheriff's Office,County,Greenville County,Warrant Service Officer,2025-03-21,link pending
SOUTH CAROLINA,Horry County Sheriff's Office,County,Horry County ,Jail Enforcement Model,2020-06-09,link
SOUTH CAROLINA,Kershaw County Sheriff's Office,County,Kershaw County,Task Force Model,2025-04-10,link pending
SOUTH CAROLINA,Lancaster County Sheriff's Office,County,Lancaster County,Warrant Service Officer,2025-04-02,link pending
SOUTH CAROLINA,Lexington County Sheriff's Office,County,Lexington County ,Jail Enforcement Model,2020-06-08,link
SOUTH CAROLINA,Oconee County Sheriff's Office,County,Oconee County,Warrant Service Officer,2025-03-27,link
SOUTH CAROLINA,South Carolina Law Enforcement Division,State Agency,,Task Force Model,2025-03-07,link
SOUTH CAROLINA,Spartanburg County Sheriff's Office,County,Spartanburg County,Warrant Service Officer,2025-04-02,link pending
SOUTH CAROLINA,York County Sheriff's Office,County,York County ,Jail Enforcement Model,2020-06-09,link
SOUTH DAKOTA,Hughes County Sheriff's Office,County,Hughes County ,Warrant Service Officer,2025-03-07,link
SOUTH DAKOTA,Minnehaha County Sheriff's Office,County,Minnehaha County,Warrant Service Officer,2025-03-17,link
TENNESSEE,Greene County Sheriff’s Office,County,Greene County,Jail Enforcement Model,2020-06-09,link
TENNESSEE,Hamilton County Sheriff's Office,County,Hamilton County,Jail Enforcement Model,2025-03-17,link
TENNESSEE,Knox County Sheriff’s Office,County,Knox County,Jail Enforcement Model,2020-06-08,link
TENNESSEE,Putnam County Sheriff's Office,County,Putnam County ,Jail Enforcement Model,2025-02-24,link pending 
TEXAS,Aransas County Sheriff's Office,County,Aransas County ,Jail Enforcement Model,2020-06-08,link | addendum
TEXAS,Bee County Sheriff's Office,County,Bee County ,Warrant Service Officer,2025-02-24,link pending 
TEXAS,Burnet County Sheriff's Office,County,Burnet County ,Warrant Service Officer,2019-11-05,link
TEXAS,Calhoun County Sheriff’s Office,County,Calhoun County,Jail Enforcement Model,2020-03-13,link
TEXAS,Calhoun County Sheriff's Office,County,Calhoun County ,Task Force Model,2025-03-07,link
TEXAS,Calhoun County Sheriff's Office,County,Calhoun County ,Warrant Service Officer,2025-02-24,link pending 
TEXAS,Chambers County Sheriff’s Office,County,Chambers County,Jail Enforcement Model,2020-06-09,link
TEXAS,Deaf Smith County Sheriff's Office,County,Deaf Smith County,Warrant Service Officer,2025-03-17,link
TEXAS,DeWitt County Sheriff’s Office,County,DeWitt County,Jail Enforcement Model,2020-06-08,link
TEXAS,DeWitt County Sheriff’s Office,County,DeWitt County,Warrant Service Officer,2025-02-26,link pending 
TEXAS,Falls County Sheriff's Office,County,Falls County,Task Force Model,2025-03-25,link
TEXAS,Fayette County Sheriff's Office,County,Fayette County ,Warrant Service Officer,2025-03-21,link
TEXAS,Galveston County Sheriff’s Office,County,Galveston County,Jail Enforcement Model,2020-06-08,link
TEXAS,Galveston County Sheriff's Office,County,Galveston County,Warrant Service Officer,2025-03-27,link pending
TEXAS,Goliad County Sheriff’s Office,County,Goliad County,Jail Enforcement Model,2020-06-09,link
TEXAS,Goliad County Sheriff's Office,County,Goliad County ,Warrant Service Officer,2025-02-18,link
TEXAS,Goliad County Sheriff's Office,County,Goliad County ,Task Force Model,2025-02-18,link
TEXAS,Gonzales County Sheriff's Office,County,Gonzales County,Warrant Service Officer,2025-04-02,link pending
TEXAS,Grayson County Sheriff’s Office,County,Grayson County,Jail Enforcement Model,2025-03-21,link pending
TEXAS,Gregg County Sheriff's Office,County,Gregg County,Jail Enforcement Model,2025-03-17,link
TEXAS,Hamilton County Sheriff's Office ,County,Hamilton County,Task Force Model,2025-04-10,link pending
TEXAS,Harrison County Sheriff's Office,County,Harrison County ,Warrant Service Officer,2025-02-24,link
TEXAS,Houston County Sheriff's Office,County,Houston County,Warrant Service Officer,2025-04-02,link pending
TEXAS,Jackson County Sheriff's Office,County,Jackson County ,Jail Enforcement Model,2020-06-08,link
TEXAS,Jackson County Sheriff's Office ,County,Jackson County  ,Warrant Service Officer,2025-02-24,link pending 
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County ,Jail Enforcement Model,2025-02-27,link pending
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County,Warrant Service Officer,2025-03-26,link
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County,Task Force Model,2025-03-25,link
TEXAS,Kendall County Sheriff's Office,County,Kendall County ,Warrant Service Officer,2020-12-23,link
TEXAS,Kinney County Sheriff's Office,County,Kinney County,Task Force Model,2025-03-26,link
TEXAS,Kleberg County Sheriff's Office,County,Kleberg County ,Jail Enforcement Model,2020-07-31,link
TEXAS,Lavaca County Sheriff’s Office,County,Lavaca County,Jail Enforcement Model,2020-06-08,link
TEXAS,Lavaca County Sheriff's Office,County,Lavaca County ,Warrant Service Officer,2025-02-24,link pending 
TEXAS,Lubbock County Sheriff's Office,County,Lubbock County ,Jail Enforcement Model,2020-06-08,link
TEXAS,Matagorda County Sheriff's Office,County,Matagorda County ,Jail Enforcement Model,2020-03-13,link
TEXAS,McMullen County Sheriff's Office,County,McMullen County ,Warrant Service Officer,2025-02-27,link
TEXAS,Medina County Sheriff's Office,County,Medina County,Task Force Model,2025-03-26,link
TEXAS,Montgomery County Sheriff’s Office,County,Montgomery County,Jail Enforcement Model,2020-06-09,link | addendum
TEXAS,Nixon Police Department,Municipality,,Warrant Service Officer,2025-02-28,link
TEXAS,Nixon Police Department,Municipality,,Task Force Model,2025-02-28,link
TEXAS,Nueces County Sheriff's Office,County,Nueces County ,Jail Enforcement Model,2020-06-09,link | addendum
TEXAS,Panola County Sheriff's Office,County,Panola County,Warrant Service Officer,2025-03-27,link pending
TEXAS,Panola County Sheriff's Office,County,Panola County,Task Force Model,2025-04-02,link
TEXAS,Parker County Sheriff's Office,County,Parker County ,Warrant Service Officer,2025-02-27,link
TEXAS,Potter County Sheriff's Office,County,Potter County ,Jail Enforcement Model,2020-03-02,link
TEXAS,Randall County Sheriff's Office,County,Randall County ,Jail Enforcement Model,2025-02-28,link pending
TEXAS,Refugio County Sheriff’s Office,County,Refugio County,Jail Enforcement Model,2020-06-09,link
TEXAS,Refugio County Sheriff’s Office,County,Refugio County,Warrant Service Officer,2025-03-07,link
TEXAS,Rockwall County Sheriff's Office,County,Rockwall County ,Jail Enforcement Model,2020-06-09,link
TEXAS,Rusk County Sheriff's Office ,County,Rusk County  ,Warrant Service Officer,2025-03-05,link
TEXAS,San Patricio County Sheriff’s Office,County,San Patricio County,Jail Enforcement Model,2020-09-03,link
TEXAS,Schleicher County Sheriff's Office,County,Schleicher County,Warrant Service Officer,2025-04-02,link pending
TEXAS,Smith County Sheriff’s Office,County,Smith County,Jail Enforcement Model,2020-06-09,link
TEXAS,Smith County Sheriff’s Office,County,Smith County,Task Force Model,2025-02-18,link
TEXAS,Sutton County Sheriff's Office,County,Sutton County ,Task Force Model,2025-03-10,link
TEXAS,Sutton County Sheriff's Office,County,Sutton County ,Warrant Service Officer,2025-03-10,link
TEXAS,Tarrant County Sheriff’s Office,County,Tarrant County,Jail Enforcement Model,2020-06-16,link
TEXAS,Terrell County Sheriff's Office,County,Terrell County ,Jail Enforcement Model,2020-06-09,link
TEXAS,Texas National Guard,State Agency,,Task Force Model,2025-04-11,link
TEXAS,Texas Office of the Attorney General,State Agency,,Task Force Model,2025-01-30,link
TEXAS,Titus County Sheriff's Office,County,Titus County ,Task Force Model,2025-03-10,link
TEXAS,Titus County Sheriff's Office,County,Titus County ,Warrant Service Officer,2025-03-10,link
TEXAS,Victoria County Sheriff’s Office,County,Victoria County,Jail Enforcement Model,2020-06-08,link
TEXAS,Victoria County Sheriff’s Office,County,Victoria County,Warrant Service Officer,2025-02-26,link
TEXAS,Walker County Sheriff’s Department,County,Walker County,Jail Enforcement Model,2020-06-09,link
TEXAS,Walker County Sheriff's Office,County,Walker County,Warrant Service Officer,2025-04-02,link
TEXAS,Waller County Sheriff’s Office,County,Waller County,Warrant Service Officer,2020-02-12,link
TEXAS,Wharton County Sheriff’s Office,County,Wharton County,Jail Enforcement Model,2020-06-09,link
TEXAS,Wharton County Sheriff's Office,County,Wharton County,Warrant Service Officer,2025-04-02,link
TEXAS,Winkler County Sheriff's Office,County,Winkler County,Jail Enforcement Model,2025-03-21,link pending 
TEXAS,Winkler County Sheriff's Office,County,Winkler County,Warrant Service Officer,2025-03-26,link
UTAH,Washington County Sheriff's Office,County,Washington County,Jail Enforcement Model,2025-03-21,link pending 
UTAH,Washington County Sheriff's Office,County,Washington County,Task Force Model,2025-03-21,link pending 
VIRGINIA,Bedford County Sheriff's Office,County,Bedford County ,Task Force Model,2025-03-07,link
VIRGINIA,Loudoun County Sheriff's Office,County,Loudoun County,Warrant Service Officer,2025-03-27,link
VIRGINIA,Virginia Department of Corrections,State Agency,,Jail Enforcement Model,2025-02-28,link pending
VIRGINIA,Virginia Department of State Police,State Agency,,Task Force Model,2025-02-28,link
WISCONSIN,Brown County Sheriff's Office,County,Brown County ,Warrant Service Officer,2020-10-16,link
WISCONSIN,Fond du Lac County Sheriff's Office,County,Fond du Lac County ,Warrant Service Officer,2020-06-05,link
WISCONSIN,Manitowoc County Sheriff's Office,County,Manitowoc County ,Warrant Service Officer,2020-06-05,link
WISCONSIN,Marquette County Sheriff's Office,County,Marquette County ,Warrant Service Officer,2020-05-21,link
WISCONSIN,Sheboygan County Sheriff's Office,County,Sheboygan County ,Warrant Service Officer,2020-02-27,link
WISCONSIN,Washington County Sheriff's Office,County,Washington County ,Warrant Service Officer,2025-03-03,link
WISCONSIN,Waukesha County Sheriff's Office,County,Waukesha County ,Jail Enforcement Model,2020-06-10,link
WISCONSIN,Waupaca County Sheriff's Office,County,Waupaca County,Warrant Service Officer,2025-04-02,link
WISCONSIN,Waushara County Sheriff's Office,County,Waushara County ,Warrant Service Officer,2020-06-08,link
WISCONSIN,Winnebago County Sheriff's Office,County,Winnebago County ,Warrant Service Officer,2025-03-03,link
WISCONSIN,Wood County Sheriff's Office,County,Wood County,Warrant Service Officer,2025-03-17,link
WYOMING,Campbell County Sheriff's Office,County,Campbell County ,Warrant Service Officer,2025-02-26,link
WYOMING,Sweetwater County Sheriff's Office,County,Sweetwater County ,Warrant Service Officer,2020-03-13,link
WYOMING,Sweetwater County Sheriff's Office,County,Sweetwater County ,Jail Enforcement Model,2025-03-07,link
